[31.0, 25.0, 25.0, 21.0, 23.0, 14.0, 26.0, 31.0, 16.0, 17.0, 27.0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[35.0, 40.0, 33.0, 33.0, 32.0, 34.0, 32.0, 39.0, 40.0, 34.0, 36.0]
[701, 819, 662, 1039, 1108, 1544, 2136, 2788, 3239, 3752, 4514]
[34.0, 39.0, 33.0, 31.0, 31.0, 33.0, 32.0, 35.0, 37.0, 31.0, 32.0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[35.0, 40.0, 33.0, 33.0, 32.0, 34.0, 32.0, 39.0, 40.0, 34.0, 36.0]
[99, 141, 319, 615, 1332, 2808, 5817, 12030, 27143, 56535, 119972]
