0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
30.0, 37.0, 25.0, 28.0, 35.0, 33.0, 33.0, 39.0, 39.0, 34.0, 34.0
222, 280, 779, 1897, 4012, 8658, 16905, 36572, 72079, 149372, 331791

12.0, 16.0, 19.0, 18.0, 15.0, 24.0, 22.0, 19.0, 13.0, 28.0, 34.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26.0, 27.0, 35.0, 29.0, 31.0, 38.0, 39.0, 36.0, 32.0, 41.0, 47.0
465, 724, 648, 870, 1110, 1417, 2101, 2405, 2937, 3624, 5108
22.0, 25.0, 34.0, 26.0, 28.0, 35.0, 29.0, 30.0, 30.0, 38.0, 45.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26.0, 27.0, 35.0, 29.0, 31.0, 38.0, 39.0, 36.0, 32.0, 41.0, 47.0
94, 141, 304, 622, 1336, 2721, 6594, 12554, 26182, 56220, 116644

29.0, 27.0, 30.0, 29.0, 32.0, 24.0, 21.0, 19.0, 31.0, 16.0, 30.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33.0, 38.0, 38.0, 40.0, 36.0, 41.0, 35.0, 37.0, 42.0, 35.0, 42.0
1016, 765, 859, 1375, 1530, 2031, 2453, 3062, 4437, 4624, 6608
29.0, 33.0, 32.0, 34.0, 32.0, 33.0, 30.0, 34.0, 39.0, 29.0, 38.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0
33.0, 38.0, 38.0, 40.0, 36.0, 41.0, 35.0, 37.0, 42.0, 35.0, 42.0
94, 156, 266, 625, 1250, 2702, 5483, 12809, 25197, 52555, 116144

20.0, 27.0, 17.0, 19.0, 21.0, 22.0, 18.0, 22.0, 18.0, 29.0, 20.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24.0, 32.0, 32.0, 31.0, 28.0, 37.0, 26.0, 28.0, 28.0, 40.0, 32.0
547, 625, 609, 788, 1109, 1453, 1249, 2015, 2546, 2953, 3828
22.0, 30.0, 28.0, 25.0, 24.0, 32.0, 25.0, 26.0, 25.0, 37.0, 28.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24.0, 32.0, 32.0, 31.0, 28.0, 37.0, 26.0, 28.0, 28.0, 40.0, 32.0
78, 141, 297, 640, 1312, 2750, 5890, 12497, 24541, 51440, 116128

28.0, 18.0, 14.0, 20.0, 16.0, 13.0, 13.0, 25.0, 26.0, 23.0, 24.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34.0, 27.0, 27.0, 33.0, 31.0, 33.0, 30.0, 35.0, 39.0, 36.0, 35.0
656, 656, 641, 890, 1062, 1516, 1891, 2406, 3281, 3436, 4155
31.0, 26.0, 27.0, 30.0, 30.0, 31.0, 29.0, 28.0, 35.0, 29.0, 35.0 
0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0
34.0, 27.0, 27.0, 33.0, 31.0, 33.0, 30.0, 35.0, 39.0, 36.0, 35.0
94, 140, 297, 578, 1281, 2561, 5373, 11372, 24182, 51123, 121467

24.0, 23.0, 16.0, 15.0, 19.0, 19.0, 33.0, 24.0, 23.0, 15.0, 29.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30.0, 33.0, 26.0, 33.0, 35.0, 34.0, 41.0, 36.0, 35.0, 31.0, 46.0
614, 676, 628, 854, 1035, 1307, 1786, 2222, 2364, 3379, 4471
30.0, 26.0, 26.0, 31.0, 29.0, 30.0, 40.0, 32.0, 31.0, 21.0, 45.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30.0, 33.0, 26.0, 33.0, 36.0, 34.0, 41.0, 36.0, 35.0, 31.0, 46.0
140, 144, 297, 641, 1375, 2797, 6184, 12638, 26690, 58813, 117000

19.0, 21.0, 20.0, 27.0, 19.0, 22.0, 24.0, 22.0, 16.0, 26.0, 22.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30.0, 30.0, 33.0, 39.0, 26.0, 40.0, 35.0, 38.0, 36.0, 39.0, 42.0
641, 785, 914, 1210, 1368, 1840, 2196, 3098, 3834, 4056, 5182
26.0, 27.0, 27.0, 31.0, 25.0, 36.0, 30.0, 29.0, 32.0, 37.0, 41.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30.0, 30.0, 33.0, 39.0, 26.0, 40.0, 35.0, 38.0, 36.0, 39.0, 42.0
125, 156, 312, 645, 1351, 2858, 5833, 12374, 28610, 57913, 119138

23.0, 18.0, 15.0, 13.0, 25.0, 25.0, 20.0, 16.0, 18.0, 25.0, 24.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29.0, 27.0, 27.0, 28.0, 38.0, 38.0, 34.0, 32.0, 40.0, 35.0, 44.0
1068, 1539, 1510, 2564, 3597, 4309, 4646, 8047, 9523, 11189, 17200
24.0, 27.0, 25.0, 27.0, 30.0, 30.0, 34.0, 24.0, 34.0, 27.0, 41.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
29.0, 27.0, 27.0, 28.0, 38.0, 38.0, 34.0, 32.0, 40.0, 35.0, 44.0
201, 394, 784, 2280, 3671, 8600, 18296, 38975, 79890, 160362, 341885

27.0, 29.0, 27.0, 23.0, 15.0, 24.0, 30.0, 25.0, 16.0, 14.0, 28.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32.0, 34.0, 30.0, 36.0, 29.0, 34.0, 36.0, 40.0, 33.0, 44.0, 37.0
1381, 1228, 1800, 2450, 3645, 4628, 5659, 6652, 7806, 11105, 14531
29.0, 32.0, 29.0, 29.0, 26.0, 27.0, 28.0, 30.0, 33.0, 41.0, 35.0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
32.0, 34.0, 30.0, 36.0, 29.0, 34.0, 36.0, 40.0, 33.0, 44.0, 37.0
307, 289, 1053, 1471, 4355, 7608, 17441, 35387, 75878, 153287, 321898

15.0, 22.0, 25.0, 30.0, 32.0, 22.0, 25.0, 28.0, 20.0, 18.0, 16.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26.0, 30.0, 35.0, 33.0, 40.0, 32.0, 35.0, 39.0, 37.0, 38.0, 42.0
1528, 1657, 2649, 3908, 4211, 3986, 6963, 8476, 10332, 13760, 16052
23.0, 26.0, 30.0, 30.0, 29.0, 28.0, 29.0, 29.0, 34.0, 30.0, 37.0
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
