[13.0, 7.0, 12.0, 13.0, 11.0, 14.0, 18.0, 16.0, 24.0, 24.0, 14.0, 13.0, 11.0, 11.0, 21.0, 21.0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
[17.0, 21.0, 22.0, 26.0, 29.0, 30.0, 32.0, 33.0, 36.0, 37.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0]
[64, 44, 97, 103, 352, 790, 1399, 2176, 3865, 4577, 6033, 6646, 7927, 9212, 10703, 13165]
[12.0, 16.0, 17.0, 21.0, 22.0, 26.0, 31.0, 31.0, 33.0, 31.0, 32.0, 36.0, 38.0, 40.0, 41.0, 42.0]
[3, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]
[17.0, 21.0, 22.0, 26.0, 29.0, 30.0, 32.0, 33.0, 36.0, 37.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0]
[428, 1187, 3971, 9263, 21981, 45417, 76959, 129593, 188417, 229600, 259720, 266265, 265489, 272857, 303846, 315229]
