[2.0, 7.0, 5.0, 6.0, 6.0, 13.0, 14.0, 17.0, 13.0, 20.0, 22.0, 19.0, 24.0, 13.0, 20.0, 27.0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[11.0, 11.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 29.0, 30.0, 32.0, 33.0, 35.0, 35.0, 36.0, 37.0]
[25, 19, 38, 57, 141, 250, 471, 777, 1185, 1596, 2175, 2725, 3316, 3657, 4261, 4770]
[16.0, 16.0, 18.0, 20.0, 14.0, 19.0, 21.0, 23.0, 23.0, 23.0, 25.0, 27.0, 29.0, 31.0, 30.0, 30.0]
[2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
[16.0, 16.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 29.0, 30.0, 32.0, 33.0, 35.0, 35.0, 37.0, 37.0]
[222, 666, 1730, 2055, 5470, 12306, 23230, 40279, 60209, 84726, 80554, 103097, 119954, 131726, 138555, 146576]
